"Australian Adult Alcohol Guideline 2020","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations",
"Age of person in single years",
"31",86.5,21.43,,66.6,23.82,,2.8,np,"**",5.9,np,"**",0,0.00,,0,0.00,,34.6,29.57,"*",154.6,14.12,,17.5,45.63,"*",13.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,116.2,18.41,,225.6,11.06,,22.9,35.42,"*",21.9,33.31,"*",0,0.00,,11.3,np,"**",
"32",59,23.64,,78.6,18.02,,8,np,"**",17.3,np,"**",0,0.00,,0,0.00,,37.1,28.13,"*",132.4,14.35,,24.7,30.24,"*",27.3,30.28,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,89.8,18.46,,225.1,9.82,,33.7,27.81,"*",40.4,28.02,"*",0,0.00,,0,0.00,,
"33",56.7,21.18,,94.9,17.96,,11.6,np,"**",17.9,41.98,"*",0,0.00,,0,0.00,,36.3,33.25,"*",110.6,14.23,,16.7,48.39,"*",32.7,32.75,"*",0,0.00,,4.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,93.2,18.46,,200.3,11.81,,31.7,31.42,"*",38.6,35.09,"*",0,0.00,,2.6,np,"**",
"34",39.2,24.20,,84,18.70,,12.8,41.94,"*",10.9,np,"**",0,0.00,,0,0.00,,27.3,33.42,"*",102.9,17.47,,47,24.97,,28,44.18,"*",0,0.00,,1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,73.3,19.43,,198.9,10.94,,46.9,26.09,"*",36.6,34.75,"*",0,0.00,,9.7,np,"**",
"35",62.9,23.77,,71.4,19.60,,19.8,44.17,"*",16.7,42.52,"*",0,0.00,,0,0.00,,19.7,40.16,"*",115.1,13.72,,23,35.08,"*",25.8,32.52,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,82.5,20.36,,189.8,10.67,,40.6,27.80,"*",41.2,25.11,"*",0,0.00,,0,0.00,,
"36",37.3,28.89,"*",62,18.81,,5.9,np,"**",9.8,np,"**",0,0.00,,0,0.00,,20.3,30.30,"*",96.4,15.22,,39.9,28.73,"*",7.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,56.2,20.66,,154.9,12.63,,51.6,25.52,"*",19.5,35.16,"*",0,0.00,,0,0.00,,
"37",66.7,18.57,,75.2,17.18,,6.1,np,"**",19.8,36.17,"*",0,0.00,,0,0.00,,43,28.22,"*",94.1,15.09,,15.3,32.90,"*",12.2,41.03,"*",0,0.00,,3.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,111.6,15.72,,163.2,10.92,,24.9,26.26,"*",31.1,24.73,,0,0.00,,2.9,np,"**",
"38",66.7,20.56,,88.4,16.53,,16.1,42.71,"*",10.9,np,"**",0,0.00,,0,0.00,,29.9,31.77,"*",105.1,16.13,,30.5,37.52,"*",26,31.62,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,102.5,16.15,,184.6,12.64,,31.8,39.30,"*",43.2,23.09,,0,0.00,,0,0.00,,
"39",38,28.69,"*",80.3,15.61,,8.2,np,"**",15.1,37.19,"*",0,0.00,,0,0.00,,28.2,24.87,,108.1,15.36,,24.2,34.70,"*",24.9,45.88,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,64.1,19.77,,182.1,11.89,,32.1,32.23,"*",46,25.36,"*",0,0.00,,0,0.00,,
"40",80.6,15.78,,116,17.29,,16.5,37.19,"*",9.6,np,"**",0,0.00,,0,0.00,,30.7,26.15,"*",104.2,15.60,,18.5,45.17,"*",14.7,37.34,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,105.8,13.32,,222.7,11.34,,33.4,29.06,"*",28.1,32.18,"*",0,0.00,,0,0.00,,
"41",64.4,21.12,,79.3,18.45,,16.5,28.77,"*",16.5,42.18,"*",0,0.00,,0,0.00,,41.9,25.57,"*",76.2,17.50,,15.7,47.88,"*",26.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,97,17.18,,160.4,11.93,,29.4,30.34,"*",51.2,29.19,"*",0,0.00,,0,0.00,,
"42",71.4,18.47,,77.3,15.99,,18,np,"**",9.2,np,"**",0,0.00,,0,0.00,,9.6,np,"**",93.4,15.97,,12.4,np,"**",21.2,37.84,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,89.6,16.08,,173.7,11.42,,35,34.06,"*",33.9,29.43,"*",0,0.00,,0,0.00,,
"43",76.5,16.50,,77.1,16.45,,6.2,np,"**",5.4,np,"**",0,0.00,,0,0.00,,12.3,44.84,"*",122.6,14.75,,32.5,29.35,"*",7.2,np,"**",0,0.00,,5.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,90,14.30,,205,10.30,,45.6,22.41,,15.3,39.31,"*",0,0.00,,5.9,np,"**",
"44",48.7,23.61,,64.6,23.33,,8.8,np,"**",9.3,np,"**",0,0.00,,0,0.00,,16,40.32,"*",91.7,17.20,,28.9,31.88,"*",24.5,33.81,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,64.5,20.50,,156.9,13.90,,43,22.27,,35.1,28.01,"*",0,0.00,,0,0.00,,
