age,gender,level,value
78,Man,All conditions,79.5
78,Woman,No condition,0.0
78,Woman,All conditions,86.5
78,Non-binary,No condition,0.0
78,Non-binary,All conditions,0.0
78,Total,No condition,0.0
78,Total,All conditions,169.4
79,Man,No condition,0.0
79,Man,All conditions,60.8
79,Woman,No condition,0.0
79,Woman,All conditions,85.3
79,Non-binary,No condition,0.0
79,Non-binary,All conditions,0.0
79,Total,No condition,0.0
79,Total,All conditions,142.7
80,Man,No condition,0.0
80,Man,All conditions,62.1
80,Woman,No condition,0.0
80,Woman,All conditions,61.9
80,Non-binary,No condition,0.0
80,Non-binary,All conditions,0.0
80,Total,No condition,0.0
80,Total,All conditions,122.5
81,Man,No condition,0.0
81,Man,All conditions,67.4
81,Woman,No condition,0.0
81,Woman,All conditions,61.0
81,Non-binary,No condition,0.0
81,Non-binary,All conditions,0.0
81,Total,No condition,0.0
81,Total,All conditions,135.7
82,Man,No condition,0.0
82,Man,All conditions,51.6
82,Woman,No condition,0.0
82,Woman,All conditions,35.1
82,Non-binary,No condition,0.0
82,Non-binary,All conditions,0.0
82,Total,No condition,0.0
82,Total,All conditions,86.2
83,Man,No condition,0.0
83,Man,All conditions,44.8
83,Woman,No condition,0.0
83,Woman,All conditions,49.5
83,Non-binary,No condition,0.0
83,Non-binary,All conditions,0.0
83,Total,No condition,0.0
83,Total,All conditions,89.9
84,Man,No condition,0.0
84,Man,All conditions,28.1
84,Woman,No condition,0.0
84,Woman,All conditions,34.7
84,Non-binary,No condition,0.0
84,Non-binary,All conditions,0.0
84,Total,No condition,0.0
84,Total,All conditions,62.1
85,Man,No condition,0.0
85,Man,All conditions,25.7
85,Woman,No condition,0.0
85,Woman,All conditions,47.1
85,Non-binary,No condition,0.0
85,Non-binary,All conditions,0.0
85,Total,No condition,0.0
85,Total,All conditions,76.0
86,Man,No condition,0.0
86,Man,All conditions,19.7
86,Woman,No condition,0.0
86,Woman,All conditions,34.7
86,Non-binary,No condition,0.0
86,Non-binary,All conditions,0.0
86,Total,No condition,0.0
86,Total,All conditions,52.3
87,Man,No condition,0.0
87,Man,All conditions,25.8
87,Woman,No condition,0.0
87,Woman,All conditions,18.0
87,Non-binary,No condition,0.0
87,Non-binary,All conditions,0.0
87,Total,No condition,0.0
87,Total,All conditions,42.5
88,Man,No condition,0.0
88,Man,All conditions,15.2
88,Woman,No condition,0.0
88,Woman,All conditions,27.2
88,Non-binary,No condition,0.0
88,Non-binary,All conditions,0.0
88,Total,No condition,0.0
88,Total,All conditions,38.9
89,Man,No condition,0.0
89,Man,All conditions,14.1
89,Woman,No condition,0.0
89,Woman,All conditions,20.8
