age,gender,level,value
35,Woman,Current non-smoker,175.5
35,Non-binary,Current daily smoker,0.0
35,Non-binary,Current smoker - other,0.0
35,Non-binary,Current non-smoker,0.0
35,Total,Current daily smoker,20.2
35,Total,Current smoker - other,4.5
35,Total,Current non-smoker,324.4
36,Man,Current daily smoker,26.6
36,Man,Current smoker - other,0.0
36,Man,Current non-smoker,88.9
36,Woman,Current daily smoker,7.9
36,Woman,Current smoker - other,0.0
36,Woman,Current non-smoker,157.1
36,Non-binary,Current daily smoker,0.0
36,Non-binary,Current smoker - other,0.0
36,Non-binary,Current non-smoker,0.0
36,Total,Current daily smoker,39.9
36,Total,Current smoker - other,0.0
36,Total,Current non-smoker,239.9
37,Man,Current daily smoker,27.1
37,Man,Current smoker - other,3.0
37,Man,Current non-smoker,133.5
37,Woman,Current daily smoker,11.2
37,Woman,Current smoker - other,0.0
37,Woman,Current non-smoker,149.2
37,Non-binary,Current daily smoker,0.0
37,Non-binary,Current smoker - other,0.0
37,Non-binary,Current non-smoker,3.1
37,Total,Current daily smoker,36.4
37,Total,Current smoker - other,5.3
37,Total,Current non-smoker,286.2
38,Man,Current daily smoker,16.3
38,Man,Current smoker - other,0.0
38,Man,Current non-smoker,157.6
38,Woman,Current daily smoker,7.8
38,Woman,Current smoker - other,0.0
38,Woman,Current non-smoker,181.4
38,Non-binary,Current daily smoker,0.0
38,Non-binary,Current smoker - other,0.0
38,Non-binary,Current non-smoker,0.0
38,Total,Current daily smoker,32.8
38,Total,Current smoker - other,0.0
38,Total,Current non-smoker,340.7
39,Man,Current daily smoker,27.6
39,Man,Current smoker - other,4.2
39,Man,Current non-smoker,119.7
39,Woman,Current daily smoker,5.4
39,Woman,Current smoker - other,0.0
39,Woman,Current non-smoker,171.9
39,Non-binary,Current daily smoker,0.0
39,Non-binary,Current smoker - other,0.0
39,Non-binary,Current non-smoker,0.0
39,Total,Current daily smoker,29.3
39,Total,Current smoker - other,4.2
39,Total,Current non-smoker,294.6
40,Man,Current daily smoker,23.0
40,Man,Current smoker - other,6.3
40,Man,Current non-smoker,187.3
40,Woman,Current daily smoker,12.8
40,Woman,Current smoker - other,0.0
40,Woman,Current non-smoker,159.4
40,Non-binary,Current daily smoker,0.0
40,Non-binary,Current smoker - other,0.0
40,Non-binary,Current non-smoker,0.0
40,Total,Current daily smoker,38.7
40,Total,Current smoker - other,8.9
40,Total,Current non-smoker,348.3
41,Man,Current daily smoker,23.3
41,Man,Current smoker - other,3.1
41,Man,Current non-smoker,144.4
41,Woman,Current daily smoker,28.8
41,Woman,Current smoker - other,0.0
41,Woman,Current non-smoker,147.4
41,Non-binary,Current daily smoker,0.0
41,Non-binary,Current smoker - other,0.0
41,Non-binary,Current non-smoker,0.0
41,Total,Current daily smoker,42.2
41,Total,Current smoker - other,3.1
41,Total,Current non-smoker,296.3
42,Man,Current daily smoker,38.0
42,Man,Current smoker - other,0.0
42,Man,Current non-smoker,150.1
42,Woman,Current daily smoker,21.8
42,Woman,Current smoker - other,0.0
42,Woman,Current non-smoker,117.6
42,Non-binary,Current daily smoker,0.0
42,Non-binary,Current smoker - other,0.0
42,Non-binary,Current non-smoker,3.0
42,Total,Current daily smoker,53.9
42,Total,Current smoker - other,0.0
42,Total,Current non-smoker,266.8
43,Man,Current daily smoker,13.0
43,Man,Current smoker - other,0.0
43,Man,Current non-smoker,152.1
43,Woman,Current daily smoker,18.5
43,Woman,Current smoker - other,0.0
43,Woman,Current non-smoker,159.8
43,Non-binary,Current daily smoker,0.0
43,Non-binary,Current smoker - other,0.0
43,Non-binary,Current non-smoker,0.0
43,Total,Current daily smoker,29.6
43,Total,Current smoker - other,0.0
43,Total,Current non-smoker,321.5
44,Man,Current daily smoker,19.0
44,Man,Current smoker - other,0.0
44,Man,Current non-smoker,107.5
44,Woman,Current daily smoker,10.1
44,Woman,Current smoker - other,0.0
44,Woman,Current non-smoker,155.7
44,Non-binary,Current daily smoker,0.0
44,Non-binary,Current smoker - other,0.0
44,Non-binary,Current non-smoker,0.0
44,Total,Current daily smoker,30.4
44,Total,Current smoker - other,0.0
44,Total,Current non-smoker,260.2
45,Man,Current daily smoker,27.5
45,Man,Current smoker - other,0.0
45,Man,Current non-smoker,167.3
45,Woman,Current daily smoker,15.4
45,Woman,Current smoker - other,4.0
45,Woman,Current non-smoker,146.1
45,Non-binary,Current daily smoker,0.0
45,Non-binary,Current smoker - other,0.0
45,Non-binary,Current non-smoker,0.0
45,Total,Current daily smoker,43.4
45,Total,Current smoker - other,2.0
45,Total,Current non-smoker,306.9
46,Man,Current daily smoker,15.5
46,Man,Current smoker - other,0.0
46,Man,Current non-smoker,101.7
46,Woman,Current daily smoker,7.6
46,Woman,Current smoker - other,0.0
46,Woman,Current non-smoker,146.9
46,Non-binary,Current daily smoker,0.0
46,Non-binary,Current smoker - other,0.0
46,Non-binary,Current non-smoker,0.0
46,Total,Current daily smoker,29.6
46,Total,Current smoker - other,0.0
46,Total,Current non-smoker,247.2
47,Man,Current daily smoker,11.2
47,Man,Current smoker - other,3.0
47,Man,Current non-smoker,122.4
47,Woman,Current daily smoker,9.6
47,Woman,Current smoker - other,0.0
47,Woman,Current non-smoker,100.7
47,Non-binary,Current daily smoker,0.0
47,Non-binary,Current smoker - other,0.0
47,Non-binary,Current non-smoker,0.0
47,Total,Current daily smoker,25.8
47,Total,Current smoker - other,4.2
47,Total,Current non-smoker,228.8
48,Man,Current daily smoker,26.8
48,Man,Current smoker - other,14.9
48,Man,Current non-smoker,168.0
48,Woman,Current daily smoker,11.3
48,Woman,Current smoker - other,0.0
48,Woman,Current non-smoker,116.6
