age,gender,level,value
37,Total,Did not meet 2014 physical activity guidelines,241.3
38,Man,Met 2014 physical activity guidelines,27.4
38,Man,Did not meet 2014 physical activity guidelines,158.5
38,Woman,Met 2014 physical activity guidelines,46.6
38,Woman,Did not meet 2014 physical activity guidelines,144.5
38,Non-binary,Met 2014 physical activity guidelines,0.0
38,Non-binary,Did not meet 2014 physical activity guidelines,0.0
38,Total,Met 2014 physical activity guidelines,70.2
38,Total,Did not meet 2014 physical activity guidelines,300.9
39,Man,Met 2014 physical activity guidelines,32.8
39,Man,Did not meet 2014 physical activity guidelines,117.7
39,Woman,Met 2014 physical activity guidelines,27.0
39,Woman,Did not meet 2014 physical activity guidelines,148.5
39,Non-binary,Met 2014 physical activity guidelines,0.0
39,Non-binary,Did not meet 2014 physical activity guidelines,0.0
39,Total,Met 2014 physical activity guidelines,67.7
39,Total,Did not meet 2014 physical activity guidelines,270.6
40,Man,Met 2014 physical activity guidelines,66.2
40,Man,Did not meet 2014 physical activity guidelines,158.5
40,Woman,Met 2014 physical activity guidelines,33.5
40,Woman,Did not meet 2014 physical activity guidelines,150.3
40,Non-binary,Met 2014 physical activity guidelines,0.0
40,Non-binary,Did not meet 2014 physical activity guidelines,0.0
40,Total,Met 2014 physical activity guidelines,90.3
40,Total,Did not meet 2014 physical activity guidelines,303.1
41,Man,Met 2014 physical activity guidelines,50.1
41,Man,Did not meet 2014 physical activity guidelines,118.2
41,Woman,Met 2014 physical activity guidelines,23.2
41,Woman,Did not meet 2014 physical activity guidelines,140.4
41,Non-binary,Met 2014 physical activity guidelines,0.0
41,Non-binary,Did not meet 2014 physical activity guidelines,0.0
41,Total,Met 2014 physical activity guidelines,67.7
41,Total,Did not meet 2014 physical activity guidelines,266.8
42,Man,Met 2014 physical activity guidelines,53.3
42,Man,Did not meet 2014 physical activity guidelines,139.2
42,Woman,Met 2014 physical activity guidelines,25.0
42,Woman,Did not meet 2014 physical activity guidelines,101.4
42,Non-binary,Met 2014 physical activity guidelines,0.0
42,Non-binary,Did not meet 2014 physical activity guidelines,3.0
42,Total,Met 2014 physical activity guidelines,72.5
42,Total,Did not meet 2014 physical activity guidelines,248.2
43,Man,Met 2014 physical activity guidelines,46.1
43,Man,Did not meet 2014 physical activity guidelines,131.6
43,Woman,Met 2014 physical activity guidelines,38.5
43,Woman,Did not meet 2014 physical activity guidelines,153.6
43,Non-binary,Met 2014 physical activity guidelines,0.0
43,Non-binary,Did not meet 2014 physical activity guidelines,0.0
43,Total,Met 2014 physical activity guidelines,74.1
43,Total,Did not meet 2014 physical activity guidelines,276.1
44,Man,Met 2014 physical activity guidelines,23.9
44,Man,Did not meet 2014 physical activity guidelines,99.0
44,Woman,Met 2014 physical activity guidelines,42.5
44,Woman,Did not meet 2014 physical activity guidelines,128.6
44,Non-binary,Met 2014 physical activity guidelines,0.0
44,Non-binary,Did not meet 2014 physical activity guidelines,0.0
44,Total,Met 2014 physical activity guidelines,61.7
44,Total,Did not meet 2014 physical activity guidelines,228.6
45,Man,Met 2014 physical activity guidelines,37.1
45,Man,Did not meet 2014 physical activity guidelines,154.4
45,Woman,Met 2014 physical activity guidelines,38.2
45,Woman,Did not meet 2014 physical activity guidelines,125.5
45,Non-binary,Met 2014 physical activity guidelines,0.0
45,Non-binary,Did not meet 2014 physical activity guidelines,0.0
45,Total,Met 2014 physical activity guidelines,81.9
45,Total,Did not meet 2014 physical activity guidelines,278.1
46,Man,Met 2014 physical activity guidelines,31.6
46,Man,Did not meet 2014 physical activity guidelines,86.3
46,Woman,Met 2014 physical activity guidelines,15.7
46,Woman,Did not meet 2014 physical activity guidelines,146.0
46,Non-binary,Met 2014 physical activity guidelines,0.0
46,Non-binary,Did not meet 2014 physical activity guidelines,0.0
46,Total,Met 2014 physical activity guidelines,50.4
46,Total,Did not meet 2014 physical activity guidelines,221.7
47,Man,Met 2014 physical activity guidelines,30.7
47,Man,Did not meet 2014 physical activity guidelines,108.2
47,Woman,Met 2014 physical activity guidelines,18.2
47,Woman,Did not meet 2014 physical activity guidelines,88.6
47,Non-binary,Met 2014 physical activity guidelines,0.0
47,Non-binary,Did not meet 2014 physical activity guidelines,0.0
47,Total,Met 2014 physical activity guidelines,49.9
47,Total,Did not meet 2014 physical activity guidelines,196.8
48,Man,Met 2014 physical activity guidelines,54.3
